Text	Predicted Label Correct Label
" im zweiten schritt werden die differenzierungskriterien von think tanks und die kriterien fur die etablierung von think tanks im politischen system analysiert. im dritten und finalen schritt werden einige der wichtigsten think tanks im amerikanischen politiksystem analysiert und einflussreiche think tanks des 20. und 21. jahrhunderts vorgestellt. in this paper, the author presents an overview of the us interest group system and the development of think tanks. in the first part of this study, the author gives a brief overview of the us interest group system and the different types of interest groups. in the second part, the author presents the main criteria for the differentiation of think tanks and the main factors for the establishment of think tanks in the political system. " [SEP]	1	1
" die vorstellung der autonomen steuerung von softwareagenten auf der basis von komplexen ki - methoden hat ihre grenzen. komplexitat der softwareagenten und der damit verbundenen schwierigen einfuhrung von ki - methoden fuhrt dazu, dass die realisierung dieser systeme nach wie vor auf das technische expertise von softwareentwicklern angewiesen ist. die studie zeigt, dass die verfugbarkeit der daten fur die softwareagenten einen entscheidenden faktor fur die steuerung von industrie - 4. 0 - produktionsnetzwerken darstellt. dieser beitrag beschreibt einen ansatz, mit dem die datenverfugbarkeit und damit die vernetzung der einzelnen komponenten in einem produktionsnetzwerk angezapft werden kann. die einfuhrung von softwareagenten erfolgt dabei nicht auf der ebene der komponenten, sondern auf der ebene der produktionsnetzwerke. hierbei wird im ersten schritt der produktionsnetzwerk - kontext festgelegt und im zweiten schritt die datenverfugbarkeit des kontexts definiert. im zweiten schritt werden die notwendigen daten im rahmen der datenanalyse ermittelt und anhand von datenpunkten in der produktionsnetzwerk - kontext definiert. die datenanalyse zur ermittlung der notwendigen daten findet in diesem beitrag in drei schritten statt. der erste schritt ist die ermittlung des kontextes, in dem die softwareagenten im betriebsfall arbeiten. der zweite schritt ist die ermittlung der notwendigen daten, die fur die steuerung der softwareagenten im kontext der betrieblichen anforderungen benotigt werden. im dritten schritt werden die	1	1
" 82 aeuv beantwortet : 1. im lichte des gesamtzusammenhangs des artikels 82 aeuv, welcher ein vorgehen gegen wettbewerbswettbewerber verfolgt, darf die eu - kommission ein verfahren gegen die verwendung bestimmter bezeichnungen anordnen, wenn der verbraucher in einer weise tauscht, dass er irrt, die beworbenen produkte seien aus dem mitgliedstaat der klagerin hergestellt oder als solche bezeichnet werden? 2. wenn die verbraucher nicht irrt und weiß, dass die produkte aus dem mitgliedstaat der klagerin hergestellt sind, ist art. 82 aeuv in diesem fall nur dann wirksam, wenn die bezeichnung der beworbenen produkte die meinung des verbrauchers, dass diese produkte aus dem mitgliedstaat der klagerin hergestellt sind, beeinflusst oder hervorruft? dem gerichtshof der europaischen union wurde das verfahren wegen der verwendung des begriffs \ \ \ " made in france \ \ \ " auf initiative der franzosischen regierung ( ministerium fur wirtschaft, finanzen und industrie ) vom 1. juni 2011 zugelassen. # # siehe auch * europaischer gerichtshof # # einzelnachweise 1. recueil des cours de la curie ( recueil des cours de la curie de la curie 2010 - 2011 ). curie de la curie, abgerufen am 27. " [SEP]	1	1
" da keramiken somit unter flexion nur eine eingeschrankte festigkeit aufweisen, werden sie uberwiegend in formen fur keramikpulver, keramikfolien, keramikdraht und keramikguss eingesetzt. die keramikpulver werden zur herstellung von keramischen leitern, keramikfolien zur herstellung von keramikbauteilen und keramikdraht zur herstellung von keramikrohren verwendet. # # beispiele * keramikguss * keramikdraht * keramikfolien * keramikpulver # # einzelnachweise 1. " [SEP]	1	1
" jh. wird die psychologie als wissenschaft des verhaltens etabliert. sie wird aus der philosophie herausgelost und als eigenstandige disziplin anerkannt. " [SEP]	1	1
" der fragenkomplex wird aus dem blickwinkel der stadtsoziologie und dem mit der urbanen identifikation assoziierten identitatsdiskurs erortert. im rahmen der empirischen untersuchung wurde eine fragebogenaktion durchgefuhrt, die von uber 400 hagenern beantwortet wurde. die antworten wurden mittels analyse des qualitative inhalts sowie einer explorativen, geografischen datenanalyse ausgewertet. im ergebnis wird in hagen eine einheitliche identifikation mit der stadt nicht festgestellt. " [SEP]	1	1
" die frage, inwieweit sich dies auch auf das ib - theorienfeld auswirkt, wird im folgenden im rahmen einer konstruktivistischen theorie der interessengruppen ( ctig ) erortert. die idee, dass ib - theorien in einer modernen weltwirtschaftlichen ordnung zu einem betrachtlichen teil von der interaktion von interessengruppen ( ig ) getragen wird, wurde in den 1970er jahren erstmals aufgestellt. " [SEP]	1	1
" # # diagnose die symptome werden mit den befunden in der medizinischen untersuchung, den krankengeschichten, den allgemeinen krankheitsbildern in der klinik, den laborwerten und dem rontgenbild und ggf. " [SEP]	1	1
" catia v5 ist im anwendungsbereich der luft - und raumfahrt, der automobilindustrie und der maschinen - und anlagenbau tatig. catia ist ein produkt von dassault systemes, einem franzosischen konzern. # # geschichte catia v5 wurde erstmals 1981 unter dem namen catia v3 veroffentlicht. " [SEP]	1	1
" wozu konnen die dysfunktionale kundenverhaltensformen dienen? womit sind sie verbunden? wenn wir uns das konzept der dysfunktionalen kundenverhaltensformen naher anschauen, ergibt sich, dass es einen erheblichen unterschied zwischen dem kunden und dem verhalten gibt. es ist daher wichtig, den kunden als person und sein verhalten als eine ganz andere sache zu betrachten. diese trennung von kunden und verhalten ist in der literatur oftmals nicht klar, wie im folgenden zitat des amerikanischen psychologen e. c. beck : \ \ \ " wir schreiben oftmals die verhaltensstorungen der kunden auf das verhalten selbst, wahrend das verhalten, das wir als dysfunktional bezeichnen, nicht von den personen selbst ausgeht, sondern von den situationen, in denen sie leben und agieren. \ \ \ " " [SEP]	1	1
" hier findet sich ein uberblick uber die gangigen formate, produkte und publikationskulturen. die wandelhalle ist eine zeitschrift fur die kommunikation zwischen wissenschaft, wirtschaft und kultur. die wandelhalle ist eine zeitschrift fur die kommunikation zwischen wissenschaft, wirtschaft und kultur. sie versteht sich als plattform fur die gemeinsame auseinandersetzung mit themen und fragestellungen aus den bereichen wissenschaft, wirtschaft und kultur. " [SEP]	1	1
" die annahmen konnen dem von tietz und dempster ( 2011 ) verwendeten modell entnommen werden, wobei anzumerken ist, dass sie zwar auf eine starke grundlage gestutzt sind, aber dennoch einen gewissen anspruch an erganzung haben. in abschnitt 5. 2 wird die informationsstruktur der auftragsmontage unter berucksichtigung der upgrade - auktionen dargestellt. " [SEP]	1	1
" in dieser arbeit werden diese untersuchungen und die damit verbundenen theoretischen uberlegungen analysiert und bewertet. " [SEP]	1	1
" in abschnitt 7. 2 werden die identifikation der jeweiligen trigger fur die konsolidierungswellen sowie die untersuchung der unterschiedlichen momentum - konfigurationen dargestellt. die untersuchungsergebnisse im abschnitt 7. 3 konzentrieren sich auf die zufalligen konsolidierungswellen. " [SEP]	1	1
" doch in wirklichkeit hat die versuchsperson nichts gehort. das ist nur ein beispiel, aber ich bin uberzeugt, dass die meisten leser dieses buches die ganze geschichte als wahrscheinlich und als ein faires beispiel fur den menschlichen verstand ansehen werden. wenn man die psychologie studiert, dann fallt man haufig auf die tatsache, dass unsere vorstellungen von der wahrheit und von der moglichkeit, die wahrheit zu erkennen, zu einigen seltsamen entschlussen fuhren konnen. der mensch ist ein skeptiker, der standig nach beweisen fur eine idee sucht, die ihm gefallt. wenn er eine idee findet, die ihm gefallt, dann ist er geneigt, diese idee zu glauben. wenn er sie nicht findet, dann glaubt er, dass sie nicht wahr ist. und er hat kein interesse daran, sie zu prufen. wenn er eine idee findet, die ihm nicht gefallt, dann wird er geneigt, diese idee zu leugnen. wenn er sie nicht findet, dann glaubt er, dass sie wahr ist. und er hat kein interesse daran, sie zu prufen. wir konnen den menschlichen geist in diesem sinne mit den ausfuhrungen von dem griechischen philosophen xenophanes ( ca. 570 bis 480 v. chr. ) beschreiben. xenophanes erklarte, die menschen seien zu jenen geistigen wesen wie lowen, stiere, kraniche und ahnliches, zu jenen, die sich in der lage seien, die wahrheit zu erkennen, und seien dafur empfanglich, einzigartige ideen anzunehmen und wahrzunehmen. aber dennoch halt der mensch seine eigenen vorstellungen fur unsch	1	1
" nach § 5 abs. 1 satz 1 estg ist das betriebsvermogen bei buchfuhrenden gewerbetreibenden nach handelsrechtlichen grundsatzen ordnungsmaßiger buchfuhrung auszuweisen. diese einkommensteuerliche vorschrift begrundet die sogenannte maßgeblichkeit1 der handelsbilanz fur die steuerbilanz. damit sind die handelsrechtlichen vorschriften fur die steuerrechtliche gewinnermittlung maßgeblich, soweit sie nicht zwingenden steuerlichen vorschriften widersprechen. diese maßgeblichkeit kann auch gem. § 140 ao mit der derivativen buchfuhrungspflicht begrundet werden. das maßgeblichkeitsprinzip stellt einen fundamentalen grundsatz des bilanzsteuerrechts dar. die intension des gesetzgebers war insbesondere in der vereinfachung der steuerlichen ergebnisermittlung auf basis handelsrechtlicher regelungen begruundet. damit wurde ursprunglich das ziel einer moglichst weitgehenden ubereinstimmung handels - und steuerrechtlicher gewinnermittlung ( einheitsbilanz ) verfolgt. " [SEP]	0	0
" die vorliegende arbeit befasst sich mit einer thematik, welche sowohl aus der perspektive der wissenschaft als auch aus praktischer sicht von großem interesse ist. den ausgangspunkt bildet diesbezuglich die ubergeordnete frage nach der wirksamkeit von praventiven stressbewaltigungsstrategien im kontext von work - family - konflikt und dessen auswirkungen auf das psychische wohlbefinden und die berufliche leistung von fuhrungskraften. deren beantwortung wurde uber die formulierung von sechs forschungsfragen und drei teilzielen realisiert. " [SEP]	0	0
" das unternehmen macheete wurde 2010 von der nordostdeutschen mareen eichinger in der bundeshauptstadt berlin gegrundet. das buro fur kommunikation und dialog macht mithilfe neuer und alter medien unternehmen und personlichkeiten in der offentlichkeit bekannt und nutzt dabei klassische pr ‐ arbeit sowie social ‐ media ‐ marketing. vor der grundung ihres unternehmens absolvierte die 31 ‐ jahrige mareen eichinger ihren bachelor of arts in business administration ( management und kommunikation ) und bereiste die welt, unter anderem mit aufenthalten in spanien, der schweiz, osterreich und sudafrika. „ nachdem es mich vor sieben jahren nach berlin gezogen hatte, arbeitete ich hier fur ungefahr zweieinhalb jahre in einer kampagnenagentur. außerdem habe ich in der hauptstadt mehrere weiterbildungslehrgange absolviert, um mein konnen zu erweitern. “ schließlich kam der zeitpunkt, an dem sie sich endlich einen lang ersehnten traum erfullte, die grundung einer eigenen agentur – macheete. „ ich liebe es zu reisen, ich lese sehr gern, und wenn ich die zeit dazu finde, tische ich meinen freunden gern mal eine exquisite kostlichkeit auf. “ zeit fur ihre hobbys nimmt sie sich regelmaßig, etwa acht stunden in der woche. „ viele freunde sind auch grunder, die ich unter anderem auch auf dem weg zur selbststandigkeit gefunden habe. “ " [SEP]	0	0
" obwohl die idee demokratischer selbstregierung universell ist, variiert historisch die art und weise, wie sie konkret umgesetzt wird. viele faktoren beeinflussen ihre implementation, so u. a. die große des demokratischen gemeinwesens, der grad an gesellschaftlicher modernitat oder die dominanten traditionslinien politischen denkens ( liberal / republikanisch ). der seit den 1990er jahren sehr intensiv gefuhrte interdisziplinare diskurs uber e - democracy richtet sein erkenntnisinteresse auf das niveau der technologischen entwicklung eines politischen gemeinwesens und analysiert den systematischen einfluss, den die neuen informations - und kommunikationstechnologien ( ikt ) auf demokratien ausuben ( vgl. vedel 2006 : 226 ). " [SEP]	0	0
" das internet und die sozialen medien haben nicht nur die kanale politischer kommunikation vervielfacht, sondern zugleich die art der kommunikation und damit auch die interaktionsmoglichkeiten zwischen politischen akteuren, gesellschaftlichen gruppen und burgern erheblich verandert. dieser beitrag nimmt zunachst begriffsklarungen vor in diesem uberaus dynamischen und unubersichtlichen feld, legt die zentralen normativen zugange und theoretischen konzepte dar und greift einige empirische befunde und betatigungsfelder auf. zudem wird auf die rolle digitaler medien in autokratien eingegangen. das letzte kapitel schließlich zeigt die betrachtlichen forschungsdesiderate und ebenso großen forschungs perspektiven auf, die diesem jungen thema innewohnen. " [SEP]	0	0
" fur fragen zur arbeitssicherheit und der arbeitsumwelt ist das schwedische zentralamt fur arbeitsumwelt ( arbetsmiljoverk ) zustandig. zugleich regelt das arbeitsumweltgesetz ( arbetsmiljolag ) die pflichten des arbeitgebers, unfallen und arbeitsbedingten krankheiten vorzubeugen. die pflichten des arbeitgebers im rahmen der arbeitssicherheit und der arbeitsumwelt liegen darin, den vorschriften des schwedischen zentralamtes fur arbeitsumwelt folge zu leisten sowie in eigener verantwortung vorbeugend aktiv zu werden. weiterhin mussen maßnahmen ergriffen werden, um unfalle und arbeitsbedingte schaden oder krankheiten zu vermeiden. das schwedische zentralamt fur arbeitsumwelt erlasst fur einzelne branchen eine reihe von verordnungen, deren befolgung dem arbeitgeber obliegt. der arbeitnehmer ist verpflichtet, die sicherheitsvorschriften am arbeitsplatz zu befolgen und die sicherheitsausrustung, die gegebenenfalls vorhanden ist, zu nutzen. tut er das nicht, verstoßt er gegen seine pflichten aus dem arbeitsvertrag. der arbeitgeber wiederum muss den arbeitnehmer auf dieses fehlverhalten hinweisen. nimmt er das fehlverhalten des arbeitnehmers hin, kann dies sanktionen aus dem arbeitsumweltgesetz nach sich ziehen. " [SEP]	0	0
" das kapitel beschaftigt sich mit dem gegenstand und der einordnung der tourismuspsychologie innerhalb des wissenschaftssystems. beschrieben werden die ziele und aufgaben der tourismuspsychologie sowie derzeitige probleme bei der umsetzung wesentlicher sachverhalte. neben der betrachtung allgemeinpsychologischer aspekte wird kurz auf aktuelle erklarungsansatze zum reiseverhalten eingegangen sowie auf den stand der gegenwartigen reiseorganisation und reisesozialisation verwiesen. " [SEP]	0	0
" aus den hier erarbeiteten erkenntnissen ergeben sich diverse forschungsprogrammatische konsequenzen, bei deren diskussion inhaltliche dimensionen in zukunftigen forschungsvorhaben berucksichtigung finden sowie methodische aspekte aufgegriffen werden sollten. die aufarbeitung des forschungsstands und die ergebnisse der vorliegenden empirischen untersuchung tragen zwar einerseits zur verringerung der forschungslucke bei, eroffnen andererseits aber weitere ansatzpunkte, da gezeigt wird, dass die thematik der fuhrungswechselforschung ein nach wie vor unzureichend bearbeitetes forschungsfeld darstellt, in dem sich mannigfaltige perspektiven als auch forderungen nach einer detaillierten betrachtung ergeben. um diesem anspruch genuge zu leisten, ist zunachst der individuelle akteur ins zentrum der betrachtung zu rucken. " [SEP]	0	0
" symbolik gehort zur politik wie das amen zur kirche ( vgl. u. a. pross 1974 ). dies ist fur die antike ebenso belegbar ( vgl. u. a. zanker 1987 ) wie fur mittelalter ( vgl. u. a. althoff 2003 ) und neuzeit ( vgl. u. a. die ausstellungen der stiftung haus der geschichte der bundesrepublik deutschland 1998, 2004, 2008 ). gerade weil politische symbole – z. b. die nationalsymbole flagge und hymne – so allgegenwartig sind, muss marion g. mullers these, dass „ [ es sich ] mit dem visuellen verhalt [ … ] wie mit der politik : jeder meint, etwas von dem thema zu verstehen [ … ] “ ( 2003, s. 9 ), ausgangspunkt fachdidaktischer uberlegungen sein. " [SEP]	0	0
" als kirchenschatze bezeichnen wir historisch gewachsene objekt - ensembles von heterogener zusammensetzung, die von altargerat uber bucher, textilien, reliquien und mirabilien bis hin zu urkunden, petschaften und geschmeide alles umfassen konnen, was durch die jahrhunderte als wertvoll erachtet wurde und sich bis heute in eigenen schatzkammern oder museen an dom -, stifts -, kloster - und wallfahrtskirchen erhalten hat. " [SEP]	0	0
" charakteristisch fur diese phase des abschwungs sind sinkende umsatze und gewinne. bezuglich des angebotenen produktes bzw. der angebotenen dienstleistung kann eine selektion oder modifikation empfehlenswert sein. solch ein eingriff in das leistungsprogramm kann beispielsweise dadurch erfolgen, indem bereits bestehende durch neuere produkte ersetzt oder verandert werden ( gruner 2008 s. 215 ). " [SEP]	0	0
" die kindersprachforschung wurde in der zweiten halfte des 19. jahrhunderts von philosophen, medizinern, psychologen und padagogen begrundet. sprachwissenschaftler spielten hier noch keine bedeutende rolle. ziel dieser forschung war es, natur und wesen des kindes mit mitteln der empirischen wissenschaften, d. h. in genauen und systematischen beobachtungen, zu ergrunden. " [SEP]	0	0
" chemiestudium in turin ; im antifaschistischen widerstand ; 1944 als jude und anfuhrer einer partisanengruppe nach auschwitz deportiert ; 1945 befreit ; darstellung der kz - erfahrung in seinen prosawerken, daneben phantastische und utopische texte ; starb durch selbstmord. " [SEP]	0	0
" die stromungsablosung am fahrzeugheck stellt einen komplexen prozess dar. die beeinflussbarkeit einer ablosung um ein 3 - dimensionales modell wird dadurch systematisch untersucht, dass der ablosungsprozess nach der entstehungsstelle zerlegt und unter vereinfachten randbedingungen isoliert behandelt wird. dabei werden wechselwirkungen untereinander zuerst nicht berucksichtigt. " [SEP]	0	0
" das risiko fur thromboembolische ereignisse nach erfolgreicher katheterablation des vorhofflimmerns ist relativ niedrig, sodass die orale antikoagulation zwei bis drei monate spater bei patienten mit cha2ds2vasc - score von < 2 beendet werden kann. bei patienten mit hoherem risiko sollte man die oak aber zunachst fortfuhren. denn randomisierte studien dazu fehlen. " [SEP]	0	0
" katheter - assoziierte harnwegsinfektionen gehoren mit zu den haufigsten nosokomialen infektionen in deutschland und sind auf intensiv - sowie normalstationen von besonderer relevanz. die aktualisierte leitlinie der kommission fur krankenhaushygiene und infektionspravention ( krinko ) aus diesem jahr gibt evidenzgestutzte empfehlungen fur das medizinische personal im umgang mit harnwegskathetern und berucksichtigt dabei die seit der erstauflage 1999 publizierte literatur. insbesondere das hohe praventionspotenzial der katheter - assoziierten harnwegsinfektionen sollte anlass sein, die empfehlungen der krinko zu implementieren und so die patientinnen und patienten vor infektionen und damit einhergehender, erhohter morbiditat und mortalitat zu schutzen. die beachtung und implementierung von krinko - empfehlungen in den kliniken erhalten zudem vor dem hintergrund von § 23 abs. 3 des infektionsschutzgesetzes ( sog. vermutunrgswirkung zur einhaltung des standes der wissenschaft ) einen formal - juristisch hoheren stellenwert. neben der umsetzung der empfehlungen in form von maßgeschneiderten interventionsbundeln ist insbesondere auch die kontinuierliche infektion - surveillance von bedeutung, um einen vergleich mit der referenzkohorte am nationalen referenzzentrum fur surveillance von nosokomialen infektionen ( nrz ) zu ermoglichen. der vorliegende beitrag erlautert die praventionsmaßnahmen der neuen krinko - empfehlung. " [SEP]	0	0
" bei gesprachen zum thema „ tabakentwohnung “ wird dies immer gefragt : „ was sagen sie zur e - zigarette? “ gemeint ist, wie wir arzte uns gegenuber patienten, die rauchfrei werden mochten, zu diesem produkt positionieren. soll man abraten? oder ist sie ein probates mittel? teils, teils... " [SEP]	0	0
" bundesgesundheitsminister hermann grohe hat ende marz vertreter des aktionsforums fur allergologie empfangen. diese hatten die gelegenheit, auf das problem der unterversorgung von allergikern hinzuweisen. " [SEP]	0	0
" die kenntnis der viralen hamorrhagischen fieber, seien sie durch arthropoden, tierkontakte oder nosokomial ubertragen, ist bei der behandlung von reiseruckkehrern essenziell, da einige von ihnen hochkontagios und lebensbedrohlich sein konnen ; andere wie das dengue - fieber oder die chikungunya - virusinfektion werden immer haufiger und mussen von den hochkontagiosen erkrankungen unterschieden werden. das auftreten von meist unspezifischen exanthemen ist ein wichtiges, aber nur in einem teil der falle vorhandenes symptom. " [SEP]	0	0
" jahrelang machte man in der ddr allein uberkommene oder von außen einwirkende ursachen fur die dortige kriminalitat verantwortlich. aus der annahme der gesellschaftsbedingtheit, ja gesellschaftsdeterminiertheit des individuellen fehlverhaltens und dem postulat, daß in der sozialistischen gesellschaft der ddr keine antagonistischen widerspruche wirkten, folgerte die strafrechtswissenschaft und kriminologie der ddr, daß die vorkommenden strafrechtsverletzungen nicht aus ddr - immanenten grunden herruhrten, sondern auf vor - oder außersozialistische einflusse zuruckzufuhren seien. so sollten rechtsverletzungen bei alteren aus bewußtseinsruckstanden aus burgerlichen zeiten resultieren, die aufgrund der gegenuber den „ materiellen “ verhaltnissen verzogerten entwicklung des bewußtseins auch im sozialismus noch wirkten, bei jungeren sollten aktuelle schadliche einflusse der „ burgerlichen und imperialistischen ideologie des westens “, die in die ddr hineinwirkten, ursachlich sein. " [SEP]	0	0
" der hall - effekt besagt : wird ein stromdurchflossenes halbleiter - plattchen ( gaas, inas ) senkrecht von einem magnetfeld durchsetzt, dann werden die ladungstrager aus ihrer waagerechten bahn abgelenkt, womit an den seitenflachen eine hallspannung u 2 auftritt, siehe abb. 6. 1. bei unbelastetem ausgang mit i 2 = 0 erscheint die leerlauf - hallspannung u 20 nach gl. 6. 1 zu : 6. 1 $ $ u _ { 20 } = k _ { \ \ text { b0 } } \ \ cdot b \ \ cdot i _ { 1 }. $ $ mit der leerlaufempfindlichkeit k b0 in v / ( a · t ), der magnetischen induktion ( flussdichte ) b in t ( tesla ) und dem eingangs - steuerstrom i 1 in ma. hinweis : 1 tesla = 1 t = 1 vs / m 2. wirkt das magnetfeld nicht senkrecht, sondern unter einem winkel α, dann gilt gl. 6. 2 mit : 6. 2 $ $ u _ { 20 } = k _ { \ \ text { b0 } } \ \ cdot b \ \ cdot i _ { 1 } \ \ cdot \ \ cos \ \ alpha. $ $ " [SEP]	0	0
" eine psychische gbu lasst sich als ein instrument zur gestaltung der betrieblichen gesundheitsforderung ( bgf ) im unternehmen verstehen. bgf definiert alle „ inhalte und die inhaltliche gestaltung von maßnahmen zur forderung und erhaltung der gesundheit im unternehmen “. eine nachhaltige gestaltung der betrieblichen gesundheit berucksichtigt vier wirkungsebenen, die wechselseitigen einfluss aufeinander haben. " [SEP]	0	0
" der beitrag stellt vor dem hintergrund aktueller studien und ergebnisse zu musikvideos die empirischen ergebnisse einer online - befragung vor. anhand des fallbeispiels „ rosana “ der gruppe wax, das reich an sexuellen anspielungen ist, werden fragen zur videorezeption vertieft bearbeitet : inwiefern die rezeptionskanale, nutzungsintensitat und geschlechtsspezifische aspekte die bewertung des werkes beeinflussen und ob einstellungsanderungen erkennbar werden. " [SEP]	0	0
" beim einsatz von elektronischen rechnungen im taglichen buroalltag sind zahlreiche chancen, aber auch nicht zu verleugnende risiken zu erkennen. einige mogliche konsequenzen werden kurz aufgezeigt. " [SEP]	0	0
" die rosazea ist gekennzeichnet durch meist zentrofaziale erytheme, teleangiektasien, pusteln sowie eine diffuse bindegewebs - und talgdrusenhyperplasie. eine rechtzeitige diagnosestellung und adaquate therapieeinleitung ist nicht zuletzt aufgrund des hohen psychischen leidensdruckes betroffener patienten essenziell. sie finden hier eine ubersicht uber die neuesten therapieformen bzw. einen ausblick auf alternative und kunftige therapiemoglichkeiten. " [SEP]	0	0
" kundenbindungsprogramme gehoren bereits seit mehreren jahrzehnten zum standard unternehmerischer marketingmaßnahmen und haben sich als institutionalisierte form der kundenbindung etabliert. " [SEP]	0	0
" schrieb aristoteles am anfang seiner nikomachischen ethik ( 1967 : absatz i 1, in der ubersetzung nach gigon ). theorie zahlte aristoteles also klassischerweise nicht zu den tatigkeiten, mit denen man nach einem praktischen gut streben kann, sondern verstand sie als „ interessenloses wissenwollen, wie sich die dinge an sich verhalten “ ( bien 1980 : 124 ). methode ist demgegenuber der praktische weg zur ursachensuche und zur erkenntnisbildung, der weg des wissenschaftlichen vorgehens, das forschungsverfahren. " [SEP]	0	0
" leben ist nur auf planeten und deren monden denkbar. die bildung solcher himmelskorper hangt eng mit der entstehung von sternen zusammen, wobei anders als bei der bildung von population iii - sternen in der fruhphase des universums, staub vorhanden sein muss, d. h. chemische elemente die schwerer sind als wasserstoff und helium. " [SEP]	0	0
" mit der 2015er revision der iso 9001 steht deren großte anderung der letzten 15 jahre an. in diesem zuge werden nicht nur neue normanforderungen aufgenommen und einige wenige entfernt. mit der neuen norm wird sich auch die aufbaustruktur der iso 9001 ganz erheblich andern. einerseits wurde die kapitelstruktur den aktuellen marktentwicklungen und neuesten qm - erkenntnissen angepasst, andererseits strebt die iso einen normenubergreifenden managementsystemstandard an. zukunftig soll bei der entwicklung und revision von systemnormen ein einheitlicher rahmen, die sog. das bedeutet, dass die erste und in den meisten hauptkapiteln auch die zweite gliederungsebene identisch sein werden : ob iso 9001, 14001 ( umwelt ), ohsas 18001 ( arbeitssicherheit ), en 9100 ( luftfahrt ) oder iso / iec 27001 ( informationstechnik ), sie alle und noch weitere normen werden kunftig eine einheitliche basiskapitelstruktur entsprechend abb. 2. 1 aufweisen. damit einhergehend werden punktuell sogar die normentexte und begrifflichkeiten angeglichen. den ubergang von der iso 9001 : 2008 zur high level structure der 2015er revision zeigt tab. 2. 1. " [SEP]	0	0
" eine frage aus der einleitung wird aufgenommen : warum ist der zahlenzauber so verfuhrerisch? wo doch gerade der umgang mit mathematik und statistik unmissverstandlich nahelegt, dass es grenzen der berechenbarkeit gibt. was nicht heißt, dass die welt eine in irrsinn und zufall dahin taumelnde anarchie sei. auch wenn mathematiker vom chaos sprechen, ist damit – pragmatisch – zunachst einmal nur gesagt, dass fur das alltagshandeln nicht durchschaubar ist, aus welchen bundeln von bedingungen sich trends, moden, bedurfnisse, wirtschaftliche chancen und katastrophen entwickeln. daraus ergibt sich, dass das faszinierende an der welt der wirtschaft ihre komplexitat ist. es sind eben einfach abermillionen individuelle einflusse, die in wechselseitiger wahrnehmung, imitation, reaktion und beeinflussung jederzeit vollig unerwartete konstellationen erzeugen konnen. der trick, diesen prozess des random copying mit einer opportunen bedeutung anzureichern, ist simpel : die fassbaren zahlen werden zur wahrung erhoben, so als gabe es jenseits dieser zahlen und modell keine einflussreichen elemente fur die in frage stehenden entscheidungen. etwa in der global verbreiteten wahrung der online verliehenen „ gefallt mir “ - bekundungen als ranking von sympathie. oder die idee, dass man der datenfulle im netz durch algorithmische operationen den sinn schon abringen werde. das methodologische intermezzo 4 beschaftigt sich daher mit dieser fur die erfassung von undurchschaubaren routinen genialen idee, stellt aber anhand von	0	0
" das 2. kapitel behandelt die breite palette der akuten weichteilverletzungen sowie chronischen schaden an fuß und sprunggelenk. einzelne unterkapitel widmen sich systematisch den verletzungen von haut und anhangsgebilden, gefaßen, nerven, muskeln, aponeurosen und sehnen. fur die extrinsischen und intrinsischen sehnen des fußes werden diagnostik und therapie der akuten verletzungen und degenerativen rupturen besprochen. " [SEP]	0	0
" der glp - 1 - agonist dulaglutid 1x wochentlich war in der phase - iii - studie award 1 dem vertreter derselben wirkstoffklasse exenatid 2x / d bei der blutzuckerkontrolle von typ - 2 - diabetikern uber ein jahr uberlegen. hba 1c und nuchternglukose konnten mit dem lang wirksamen praparat konstant und signifkant starker gesenkt werden. " [SEP]	0	0
" es trifft eben nicht nur hiv - patienten : eine zytomegalievirus - infektion ist auch bei intakter abwehr keine seltenheit. denken sie also bei unklaren mononukleoseartigen symptomen an diese wichtige differenzialdiagnose, vor allem wenn kontakt zu einer kindertagesstatte besteht oder eine fernreise berichtet wird. " [SEP]	0	0
" ein 67 - jahriger landwirt wurde wahrend der arbeit von einem rind auf die horner genommen. nach einlieferung in das krankenhaus wurden zunachst klinische verdachtsmomente u. a. auf eine rotatorenmanschettenruptur erhoben. der radiologe fuhrte ein mrt der linken schulter durch. in seinem befundbericht heißt es u. a. : » bei adipositas und leichter bewegungsunruhe des patienten eingeschrankte beurteilbarkeit des bildmaterials durch bewegungsartefakte «. in seiner abschließenden beurteilung schreibt der radiologe : » zeichen eines impingement - syndroms li. schulter und veranderungen im sinne einer periarthritis humeroscapularis. kein hinweis auf ruptur der rotatorenmanschette. degenerative akromioklavikulargelenkarthrose «. " [SEP]	0	0
" nachdem die bilanzielle grundlage des tab auf normativer und empirischer ebene sowie dessen bilanzpolitische verwendung dargestellt wurden, bezieht sich kapitel 4 explizit auf den bewertungsrelevanten kontext des tab. hierbei steht die bewertung immat. vw. im mittelpunkt, welche nach ifrs 3 im wertkonzept des fair value verankert ist. neben der darstellung der theoretischen konzeption des wertkonzepts ist somit der ifrs 13 von herausragender bedeutung, da er den fair value innerhalb der ifrs erstmalig auf ein einheitliches fundament stellt. hierbei bedarf es einer darstellung der relevanten bewertungsverfahren, wobei der schwerpunkt auf den kapitalwertorientierten verfahren liegt, welche den tab vornehmlich verursachen. " [SEP]	0	0
